Boutique,code postal,Depuis combien de temps êtes vous un client de la Maison Pariès ?,A quelle fréquence venez-vous nous rendre visite ?,Comment nous avez-vous connus ?,"En 2 mots, comment définiriez-vous la Maison ?",A quelle(s) occasion(s) effectuez-vous des achats chez nous,Quel est le produit que vous préférez ?,Quel est le dernier produit de la gamme Pariès que vous connaissez ?,8. Quels sont les produits de nos gammes que vous achetez chez d’autres artisans ?,Pourquoi ?,Où achetez-vous nos produits ?,Avez-vous déjà eu l’occasion de commander nos produits sur notre site en ligne ?,"Si vous n'êtes pas de la région, aimeriez-vous pouvoir trouver nos produits à proximité de votre domicile ?",Que devons-nous faire pour progresser ?,"14. Dans les grandes évolutions de la consommation, quelles sont les 3 qui vous tiennent le plus à cœur ?",Sexe,Quelle est votre catégorie socio-professionnelle ?,Tranche d'âge,de combien de personnes se compose votre foyer ?,"S'il y a des enfants dans votre foyer, quel âge ont-ils ?",Êtes-vous abonné à notre newsletter ?,"Si non, confiez-moi votre adresse mail pour recevoir notre actualité (moins de 10 mails par an)",lat,lon
Biarritz,37230,C’est une de mes premières visites,visite exceptionnelle,par hasard en passant devant,Originalité; Colorée,pour faire un cadeau,Chocolat,Je ne sais pas,Chocolat noir,Chocolat: plus de noir 100% ailleurs,En fonction de l'endroit où je me trouve,Non,Non,Faire plus de dégustation;  Prendre plus le temps avec le client; Etre plus commercial,"Alimentation durable (naturalité, moins de gaspillage, préoccupations écologiques et éthiques); Faire soi-même; Localisme (consommation locale, circuits courts, relations avec le primeur l’artisan)",Femme,Cadre et profession intellectuelle supérieure,50/64,3.0,entre 11 et 15 ans,Non,**********,47.407129712647055,0.5746558341176471
St Jean,65230,Depuis quelques années,visite exceptionnelle,bouche à oreille,Qualité; Réputée,pour régaler ma famille; pour faire un cadeau,Mouchous,Je ne sais pas,Gateau basque,Proximité,Toujours dans la même boutique,Non,oui,Je ne sais pas,"Alimentation santé bien être et transparence; Tradition et authenticité; Localisme (consommation locale, circuits courts, relations avec le primeur l’artisan)",Femme,Cadre et profession intellectuelle supérieure,35/49,4.0,"entre 5 et 10 ans, plus de 15 ans",Non,**********,63.12414537878787,21.612734924242424
St Jean,31500,Depuis quelques années,visite exceptionnelle,"avec vos parents, votre famille",Qualité; Savoureux,pour régaler ma famille; pour faire un cadeau; quand je reçois du monde ou quand je suis invitée,Mouchous,Je ne sais pas,Gateau basque,Proximité,Toujours dans la même boutique,Non,oui,Rien,"Alimentation durable (naturalité, moins de gaspillage, préoccupations écologiques et éthiques); Faire soi-même; Tradition et authenticité",Femme,"Artisan, commerçant, chef d'entreprise",35/49,4.0,entre 11 et 15 ans,Non,**********,43.609085899726026,1.467486172328767
Socoa,25150,Depuis quelques années,visite exceptionnelle,par hasard en passant devant,Qualité; Variété,pour me faire plaisir; pour régaler ma famille; pour faire un cadeau,Gateau basque crème,Je ne sais pas,Gateau basque,Bon aussi ailleurs,Toujours dans la même boutique,Non,oui,Rien,"Faire soi-même; Tradition et authenticité; Localisme (consommation locale, circuits courts, relations avec le primeur l’artisan)",Femme,Employé,35/49,5.0,"entre 11 et 15 ans, plus de 15 ans",Non,**********,45.4621823,10.5476164
Socoa,95410,Depuis quelques années,visite exceptionnelle,par hasard en passant devant,Gâteau basque,pour régaler ma famille,Gateau basque,Je ne sais pas,Gateau basque,Pour changer,Toujours dans la même boutique,Non,oui,Je ne sais pas,"Alimentation durable (naturalité, moins de gaspillage, préoccupations écologiques et éthiques); Tradition et authenticité; Localisme (consommation locale, circuits courts, relations avec le primeur l’artisan)",Homme,Cadre et profession intellectuelle supérieure,35/49,5.0,"entre 5 et 10 ans, plus de 15 ans",Non,**********,65.86086779917356,24.173632080991737
Bayonne,94210,Depuis toujours,visite exceptionnelle,"avec vos parents, votre famille",Bon: Accueillant,pour me faire plaisir; pour régaler ma famille,Chocolat,Kanougas,Chocolat,Proximité,En fonction de l'endroit où je me trouve,Non,Non,Je ne sais pas,"Alimentation santé bien être et transparence; Tradition et authenticité; Localisme (consommation locale, circuits courts, relations avec le primeur l’artisan)",Femme,Cadre et profession intellectuelle supérieure,35/49,5.0,"entre 5 et 10 ans, entre 11 et 15 ans",Non,**********,48.790230843209876,2.4999512049382715
Biarritz,67800,Depuis quelques années,visite exceptionnelle,bouche à oreille,Bon,pour régaler ma famille,Mouchous,Kanougas,Gateau basque,Proximité,Toujours dans la même boutique,Non,oui,Je ne sais pas,"Alimentation durable (naturalité, moins de gaspillage, préoccupations écologiques et éthiques); Alimentation santé bien être et transparence; Tradition et authenticité",Homme,Cadre et profession intellectuelle supérieure,50/64,4.0,"entre 5 et 10 ans, plus de 15 ans",Non,**********,48.61681684313725,7.749660789215687
St Jean,31220,Depuis quelques années,visite exceptionnelle,bouche à oreille,Qualité; Macarons,pour me faire plaisir; pour faire un cadeau,Macarons,Je ne sais pas,Macarons,Bon aussi ailleurs,Toujours dans la même boutique,Non,oui,Ouvrir à Toulouse,"Alimentation durable (naturalité, moins de gaspillage, préoccupations écologiques et éthiques); Alimentation santé bien être et transparence; Tradition et authenticité",Femme,Profession intermédiaire,35/49,4.0,entre 11 et 15 ans,Non,**********,36.67332638571428,127.05279948571429
St Jean,31100,Depuis toujours,visite mensuelle,"avec vos parents, votre famille",Savoureux; Mouchous,pour me faire plaisir; quand je reçois du monde ou quand je suis invitée,Mouchous,Gateau de voyage,Gateau basque,Proximité; Pour changer,En fonction de l'endroit où je me trouve,Non,Non,Rien,"Alimentation durable (naturalité, moins de gaspillage, préoccupations écologiques et éthiques); Faire soi-même; Localisme (consommation locale, circuits courts, relations avec le primeur l’artisan)",Femme,Cadre et profession intellectuelle supérieure,35/49,4.0,plus de 15 ans,Non,**********,43.57224726438356,1.407823890410959
St Jean,82500,Depuis toujours,visite exceptionnelle,"avec vos parents, votre famille",Qualité; Disponibilité,pour me faire plaisir; pour régaler ma famille; pour faire un cadeau,Avellines,Petit Paries,Macarons,Meilleur ailleurs,En fonction de l'endroit où je me trouve,Non,oui,Je ne sais pas,"Alimentation santé bien être et transparence; Tradition et authenticité; Localisme (consommation locale, circuits courts, relations avec le primeur l’artisan)",Femme,"Artisan, commerçant, chef d'entreprise",35/49,3.0,plus de 15 ans,Non,**********,62.09771489375,30.12843224375
